
 System Test Results

	Test Arguments		Expected Results		Success	
	{"EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "EOEOOOEOEEOEEOEEEOOOOOEEEOOEEOOOEOEEOEEEOOEEOEOOO", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE", "OEOEEEOEOOEOOEOOOEEEEEOOOEEOOEEEOEOOEOOOEEOOEOEEE"}		{0, 1, 0, 3, 0, 4, 0, 5, 0, 7, 0, 10, 0, 13, 0, 17, 0, 18, 0, 19, 0, 20, 0, 21, 0, 25, 0, 26, 0, 29, 0, 30, 0, 31, 0, 33, 0, 36, 0, 40, 0, 41, 0, 44, 0, 46, 0, 47, 0, 48, 2, 1, 6, 1, 8, 1, 9, 1, 11, 1, 12, 1, 14, 1, 15, 1, 16, 1, 22, 1, 23, 1, 24, 1, 27, 1, 28, 1, 32, 1, 34, 1, 35, 1, 37, 1, 38, 1, 39, 1, 42, 1, 43, 1, 45, 1}		Passed	


	{"EEOOOOOOOOEEOOOEOOEEEEOOOEOOEOEOOOOEOEEEO", "EEOOOOOOOOEEOOOEOOEEEEOOOEOOEOEOOOOEOEEEO", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "EEOOOOOOOOEEOOOEOOEEEEOOOEOOEOEOOOOEOEEEO", "EEOOOOOOOOEEOOOEOOEEEEOOOEOOEOEOOOOEOEEEO", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "EEOOOOOOOOEEOOOEOOEEEEOOOEOOEOEOOOOEOEEEO", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "EEOOOOOOOOEEOOOEOOEEEEOOOEOOEOEOOOOEOEEEO", "EEOOOOOOOOEEOOOEOOEEEEOOOEOOEOEOOOOEOEEEO", "EEOOOOOOOOEEOOOEOOEEEEOOOEOOEOEOOOOEOEEEO", "EEOOOOOOOOEEOOOEOOEEEEOOOEOOEOEOOOOEOEEEO", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "EEOOOOOOOOEEOOOEOOEEEEOOOEOOEOEOOOOEOEEEO", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "EEOOOOOOOOEEOOOEOOEEEEOOOEOOEOEOOOOEOEEEO", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "EEOOOOOOOOEEOOOEOOEEEEOOOEOOEOEOOOOEOEEEO", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "EEOOOOOOOOEEOOOEOOEEEEOOOEOOEOEOOOOEOEEEO", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE", "EEOOOOOOOOEEOOOEOOEEEEOOOEOOEOEOOOOEOEEEO", "EEOOOOOOOOEEOOOEOOEEEEOOOEOOEOEOOOOEOEEEO", "EEOOOOOOOOEEOOOEOOEEEEOOOEOOEOEOOOOEOEEEO", "OOEEEEEEEEOOEEEOEEOOOOEEEOEEOEOEEEEOEOOOE"}		{0, 2, 0, 3, 0, 4, 0, 5, 0, 6, 0, 7, 0, 8, 0, 9, 0, 12, 0, 13, 0, 14, 0, 16, 0, 17, 0, 22, 0, 23, 0, 24, 0, 26, 0, 27, 0, 29, 0, 31, 0, 32, 0, 33, 0, 34, 0, 36, 0, 40, 1, 2, 10, 2, 11, 2, 15, 2, 18, 2, 19, 2, 20, 2, 21, 2, 25, 2, 28, 2, 30, 2, 35, 2, 37, 2, 38, 2, 39, 2}		Passed	


	{"EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "OOOOOOOEEOOOEOOEOOOEOOOEEOEE", "OOOOOOOEEOOOEOOEOOOEOOOEEOEE", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "OOOOOOOEEOOOEOOEOOOEOOOEEOEE", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "OOOOOOOEEOOOEOOEOOOEOOOEEOEE", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "OOOOOOOEEOOOEOOEOOOEOOOEEOEE", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "OOOOOOOEEOOOEOOEOOOEOOOEEOEE", "OOOOOOOEEOOOEOOEOOOEOOOEEOEE", "EEEEEEEOOEEEOEEOEEEOEEEOOEOO", "OOOOOOOEEOOOEOOEOOOEOOOEEOEE", "OOOOOOOEEOOOEOOEOOOEOOOEEOEE"}		{0, 7, 0, 8, 0, 12, 0, 15, 0, 19, 0, 23, 0, 24, 0, 26, 0, 27, 1, 7, 2, 7, 3, 7, 4, 7, 5, 7, 6, 7, 9, 7, 10, 7, 11, 7, 13, 7, 14, 7, 16, 7, 17, 7, 18, 7, 20, 7, 21, 7, 22, 7, 25, 7}		Passed	


	{"EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "OOOOEEOEOOEOOEEEOOOOOEEOOEOEEEEOO", "OOOOEEOEOOEOOEEEOOOOOEEOOEOEEEEOO", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "OOOOEEOEOOEOOEEEOOOOOEEOOEOEEEEOO", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "OOOOEEOEOOEOOEEEOOOOOEEOOEOEEEEOO", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "OOOOEEOEOOEOOEEEOOOOOEEOOEOEEEEOO", "OOOOEEOEOOEOOEEEOOOOOEEOOEOEEEEOO", "OOOOEEOEOOEOOEEEOOOOOEEOOEOEEEEOO", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "OOOOEEOEOOEOOEEEOOOOOEEOOEOEEEEOO", "OOOOEEOEOOEOOEEEOOOOOEEOOEOEEEEOO", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "OOOOEEOEOOEOOEEEOOOOOEEOOEOEEEEOO", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "OOOOEEOEOOEOOEEEOOOOOEEOOEOEEEEOO", "OOOOEEOEOOEOOEEEOOOOOEEOOEOEEEEOO", "OOOOEEOEOOEOOEEEOOOOOEEOOEOEEEEOO", "OOOOEEOEOOEOOEEEOOOOOEEOOEOEEEEOO", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE", "EEEEOOEOEEOEEOOOEEEEEOOEEOEOOOOEE"}		{0, 4, 0, 5, 0, 7, 0, 10, 0, 13, 0, 14, 0, 15, 0, 21, 0, 22, 0, 25, 0, 27, 0, 28, 0, 29, 0, 30, 1, 4, 2, 4, 3, 4, 6, 4, 8, 4, 9, 4, 11, 4, 12, 4, 16, 4, 17, 4, 18, 4, 19, 4, 20, 4, 23, 4, 24, 4, 26, 4, 31, 4, 32, 4}		Passed	


	{"EEEOEEOEOOOEOEEOOEO", "EEEOEEOEOOOEOEEOOEO", "EEEOEEOEOOOEOEEOOEO", "OOOEOOEOEEEOEOOEEOE", "EEEOEEOEOOOEOEEOOEO", "EEEOEEOEOOOEOEEOOEO", "OOOEOOEOEEEOEOOEEOE", "EEEOEEOEOOOEOEEOOEO", "OOOEOOEOEEEOEOOEEOE", "OOOEOOEOEEEOEOOEEOE", "OOOEOOEOEEEOEOOEEOE", "EEEOEEOEOOOEOEEOOEO", "OOOEOOEOEEEOEOOEEOE", "EEEOEEOEOOOEOEEOOEO", "EEEOEEOEOOOEOEEOOEO", "OOOEOOEOEEEOEOOEEOE", "OOOEOOEOEEEOEOOEEOE", "EEEOEEOEOOOEOEEOOEO", "OOOEOOEOEEEOEOOEEOE"}		{0, 3, 0, 6, 0, 8, 0, 9, 0, 10, 0, 12, 0, 15, 0, 16, 0, 18, 1, 3, 2, 3, 4, 3, 5, 3, 7, 3, 11, 3, 13, 3, 14, 3, 17, 3}		Passed	


	{"EOEOOEO", "OEOEEOE", "EOEOOEO", "OEOEEOE", "OEOEEOE", "EOEOOEO", "OEOEEOE"}		{0, 1, 0, 3, 0, 4, 0, 6, 2, 1, 5, 1}		Passed	


	{"EEO", "EEO", "OOE"}		{0, 2, 1, 2}		Passed	


	{"EEEOEOEOEEOOOOEEEOOOOOOEOOEE", "EEEOEOEOEEOOOOEEEOOOOOOEOOEE", "EEEOEOEOEEOOOOEEEOOOOOOEOOEE", "OOOEOEOEOOEEEEOOOEEEEEEOEEOO", "EEEOEOEOEEOOOOEEEOOOOOOEOOEE", "OOOEOEOEOOEEEEOOOEEEEEEOEEOO", "EEEOEOEOEEOOOOEEEOOOOOOEOOEE", "OOOEOEOEOOEEEEOOOEEEEEEOEEOO", "EEEOEOEOEEOOOOEEEOOOOOOEOOEE", "EEEOEOEOEEOOOOEEEOOOOOOEOOEE", "OOOEOEOEOOEEEEOOOEEEEEEOEEOO", "OOOEOEOEOOEEEEOOOEEEEEEOEEOO", "OOOEOEOEOOEEEEOOOEEEEEEOEEOO", "OOOEOEOEOOEEEEOOOEEEEEEOEEOO", "EEEOEOEOEEOOOOEEEOOOOOOEOOEE", "EEEOEOEOEEOOOOEEEOOOOOOEOOEE", "EEEOEOEOEEOOOOEEEOOOOOOEOOEE", "OOOEOEOEOOEEEEOOOEEEEEEOEEOO", "OOOEOEOEOOEEEEOOOEEEEEEOEEOO", "OOOEOEOEOOEEEEOOOEEEEEEOEEOO", "OOOEOEOEOOEEEEOOOEEEEEEOEEOO", "OOOEOEOEOOEEEEOOOEEEEEEOEEOO", "OOOEOEOEOOEEEEOOOEEEEEEOEEOO", "EEEOEOEOEEOOOOEEEOOOOOOEOOEE", "OOOEOEOEOOEEEEOOOEEEEEEOEEOO", "OOOEOEOEOOEEEEOOOEEEEEEOEEOO", "EEEOEOEOEEOOOOEEEOOOOOOEOOEE", "EEEOEOEOEEOOOOEEEOOOOOOEOOEE"}		{0, 3, 0, 5, 0, 7, 0, 10, 0, 11, 0, 12, 0, 13, 0, 17, 0, 18, 0, 19, 0, 20, 0, 21, 0, 22, 0, 24, 0, 25, 1, 3, 2, 3, 4, 3, 6, 3, 8, 3, 9, 3, 14, 3, 15, 3, 16, 3, 23, 3, 26, 3, 27, 3}		Passed	


	{"EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "EEEEOOEEOOEOOOEEEEOEOOEOOEOEEOOOEEOOEEO", "OOOOEEOOEEOEEEOOOOEOEEOEEOEOOEEEOOEEOOE"}		{0, 4, 0, 5, 0, 8, 0, 9, 0, 11, 0, 12, 0, 13, 0, 18, 0, 20, 0, 21, 0, 23, 0, 24, 0, 26, 0, 29, 0, 30, 0, 31, 0, 34, 0, 35, 0, 38, 1, 4, 2, 4, 3, 4, 6, 4, 7, 4, 10, 4, 14, 4, 15, 4, 16, 4, 17, 4, 19, 4, 22, 4, 25, 4, 27, 4, 28, 4, 32, 4, 33, 4, 36, 4, 37, 4}		Passed	


	{"EOOOOOOOEEEOEOOOOOOEE", "OEEEEEEEOOOEOEEEEEEOO", "OEEEEEEEOOOEOEEEEEEOO", "OEEEEEEEOOOEOEEEEEEOO", "OEEEEEEEOOOEOEEEEEEOO", "OEEEEEEEOOOEOEEEEEEOO", "OEEEEEEEOOOEOEEEEEEOO", "OEEEEEEEOOOEOEEEEEEOO", "EOOOOOOOEEEOEOOOOOOEE", "EOOOOOOOEEEOEOOOOOOEE", "EOOOOOOOEEEOEOOOOOOEE", "OEEEEEEEOOOEOEEEEEEOO", "EOOOOOOOEEEOEOOOOOOEE", "OEEEEEEEOOOEOEEEEEEOO", "OEEEEEEEOOOEOEEEEEEOO", "OEEEEEEEOOOEOEEEEEEOO", "OEEEEEEEOOOEOEEEEEEOO", "OEEEEEEEOOOEOEEEEEEOO", "OEEEEEEEOOOEOEEEEEEOO", "EOOOOOOOEEEOEOOOOOOEE", "EOOOOOOOEEEOEOOOOOOEE"}		{0, 1, 0, 2, 0, 3, 0, 4, 0, 5, 0, 6, 0, 7, 0, 11, 0, 13, 0, 14, 0, 15, 0, 16, 0, 17, 0, 18, 8, 1, 9, 1, 10, 1, 12, 1, 19, 1, 20, 1}		Passed	


	{"EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "OEEOOOOOOEOOOEOOEEOOOOEOEOOOOEEEEEEOOEEOEEEOO", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE", "EOOEEEEEEOEEEOEEOOEEEEOEOEEEEOOOOOOEEOOEOOOEE"}		{0, 1, 0, 2, 0, 9, 0, 13, 0, 16, 0, 17, 0, 22, 0, 24, 0, 29, 0, 30, 0, 31, 0, 32, 0, 33, 0, 34, 0, 37, 0, 38, 0, 40, 0, 41, 0, 42, 3, 1, 4, 1, 5, 1, 6, 1, 7, 1, 8, 1, 10, 1, 11, 1, 12, 1, 14, 1, 15, 1, 18, 1, 19, 1, 20, 1, 21, 1, 23, 1, 25, 1, 26, 1, 27, 1, 28, 1, 35, 1, 36, 1, 39, 1, 43, 1, 44, 1}		Passed	


	{"EOOEEO", "OEEOOE", "OEEOOE", "EOOEEO", "EOOEEO", "OEEOOE"}		{0, 1, 0, 2, 0, 5, 3, 1, 4, 1}		Passed	


